I 06/10/2012 16:59:26:158 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:59:26:161 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:59:26:163 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:59:26:164 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:59:26:165 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:59:26:265 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:59:26:266 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:59:26:267 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:59:26:506 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:59:26:582 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:59:35:230 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:59:35:235 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:59:35:236 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:59:35:236 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:59:35:236 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:59:35:238 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:59:35:238 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:59:35:240 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:59:35:242 00002ac8           HttpServer| GC End.
I 06/10/2012 16:59:35:243 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:59:35:274 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:59:35:282 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:59:35:284 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:59:35:285 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:59:35:286 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:59:35:287 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:59:35:341 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:59:35:358 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:59:35:360 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:59:35:517 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:59:35:585 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:59:49:695 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:59:49:698 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:59:49:698 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:59:49:698 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:59:49:698 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:59:49:700 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:59:49:700 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:59:49:703 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:59:49:704 00002ac8           HttpServer| GC End.
I 06/10/2012 16:59:49:706 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:59:49:728 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:59:49:734 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:59:49:736 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:59:49:737 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:59:49:738 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:59:49:739 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:59:49:794 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:59:49:795 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:59:49:796 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:59:49:973 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:59:49:983 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:59:57:801 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:59:57:803 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:59:57:804 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:59:57:804 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:59:57:804 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:59:57:806 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:59:57:806 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:59:57:808 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:59:57:810 00002ac8           HttpServer| GC End.
I 06/10/2012 16:59:57:811 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:59:57:838 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:59:57:841 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:59:57:843 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:59:57:845 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:59:57:846 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:59:57:848 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:59:57:852 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:59:57:854 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:59:57:918 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:59:58:106 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:59:58:119 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 17:00:47:340 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 17:00:47:344 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 17:00:47:345 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 17:00:47:345 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 17:00:47:345 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 17:00:47:347 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 17:00:47:347 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 17:00:47:349 00002ac8           HttpServer| GC Start.
I 06/10/2012 17:00:47:351 00002ac8           HttpServer| GC End.
I 06/10/2012 17:00:47:353 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 17:00:47:376 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 17:00:47:382 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 17:00:47:383 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 17:00:47:385 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 17:00:47:386 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 17:00:47:387 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 17:00:47:476 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
